,SigC,SigH,EpsC,EpsH,density
0,0.075,0.0683,0.2465,0.03,640.872
1,0.075,0.0683,0.2465,0.05,634.243
2,0.075,0.0683,0.2465,0.07,626.397
3,0.075,0.0683,0.2465,0.09,631.671
4,0.075,0.0683,0.2465,0.11,639.387
5,0.075,0.0683,0.2465,0.13,630.84
6,0.075,0.0683,0.4108,0.03,636.813
7,0.075,0.0683,0.4108,0.05,638.93
8,0.075,0.0683,0.4108,0.07,631.79
9,0.075,0.0683,0.4108,0.09,630.896
10,0.075,0.0683,0.4108,0.11,635.388
11,0.075,0.0683,0.4108,0.13,638.523
12,0.075,0.0683,0.5751,0.03,637.325
13,0.075,0.0683,0.5751,0.05,639.607
14,0.075,0.0683,0.5751,0.07,629.011
15,0.075,0.0683,0.5751,0.09,630.371
16,0.075,0.0683,0.5751,0.11,632.901
17,0.075,0.0683,0.5751,0.13,636.068
18,0.075,0.0683,0.7394,0.03,633.475
19,0.075,0.0683,0.7394,0.05,631.349
20,0.075,0.0683,0.7394,0.07,632.303
21,0.075,0.0683,0.7394,0.09,628.406
22,0.075,0.0683,0.7394,0.11,635.406
23,0.075,0.0683,0.7394,0.13,635.761
24,0.075,0.0683,0.9037,0.03,634.085
25,0.075,0.0683,0.9037,0.05,634.65
26,0.075,0.0683,0.9037,0.07,631.785
27,0.075,0.0683,0.9037,0.09,630.36
28,0.075,0.0683,0.9037,0.11,635.304
29,0.075,0.0683,0.9037,0.13,633.353
30,0.075,0.0683,1.068,0.03,634.676
31,0.075,0.0683,1.068,0.05,635.961
32,0.075,0.0683,1.068,0.07,634.724
33,0.075,0.0683,1.068,0.09,637.514
34,0.075,0.0683,1.068,0.11,632.129
35,0.075,0.0683,1.068,0.13,633.191
36,0.075,0.1138,0.2465,0.03,635.798
37,0.075,0.1138,0.2465,0.05,641.9
38,0.075,0.1138,0.2465,0.07,633.535
39,0.075,0.1138,0.2465,0.09,636.694
40,0.075,0.1138,0.2465,0.11,637.334
41,0.075,0.1138,0.2465,0.13,644.151
42,0.075,0.1138,0.4108,0.03,638.744
43,0.075,0.1138,0.4108,0.05,638.957
44,0.075,0.1138,0.4108,0.07,635.945
45,0.075,0.1138,0.4108,0.09,635.191
46,0.075,0.1138,0.4108,0.11,637.517
47,0.075,0.1138,0.4108,0.13,640.279
48,0.075,0.1138,0.5751,0.03,635.818
49,0.075,0.1138,0.5751,0.05,631.989
