,ratio,rndint,dataset,mape_ist,r2_ist,mape_ost,r2_ost
0,0.05,678.0,Grid1296,0.06674479188329849,0.45913183587905515,0.09622115088994375,0.40971836453110644
1,0.05,678.0,Grid2401,0.040931385114931954,0.5709015021191666,0.11982435734117317,0.061516635413998655
2,0.05,678.0,Sobol1,0.10673422224884842,0.601678173726216,0.09251235003365359,0.40336900733753733
3,0.05,678.0,Sobol2,0.11733746509673759,0.4946301303759235,0.09328874928438677,0.3778511195047014
4,0.05,147.0,Grid1296,0.051950028278189724,0.6393569219399671,0.0962487231096666,0.40782905798722335
5,0.05,147.0,Grid2401,0.04531138124318829,0.749907944383404,0.11945982985961892,0.06437301480705937
6,0.05,147.0,Sobol1,0.11692178031211581,0.400239604517028,0.09269871075176433,0.40133255089331066
7,0.05,147.0,Sobol2,0.1154857804156772,0.4366813613255943,0.09352041770922612,0.37563876354725423
8,0.05,561.0,Grid1296,0.04428602432784985,0.7124552676042719,0.09629282168103095,0.40919977900176585
9,0.05,561.0,Grid2401,0.04659442784696476,0.4836998128104669,0.11990728744282388,0.06032788290095126
10,0.05,561.0,Sobol1,0.10652412144015362,0.581920228708479,0.09277056841924643,0.4009742459398463
11,0.05,561.0,Sobol2,0.11582441913150182,0.47620709110881265,0.09392778275318699,0.3709736105117031
12,0.05,237.0,Grid1296,0.07490501523336326,0.39949670097329226,0.09626213848985248,0.39971275109567284
13,0.05,237.0,Grid2401,0.04443908335953994,0.7059514978947186,0.11986991166763922,0.059707001413876415
14,0.05,237.0,Sobol1,0.1168999440336472,0.5039673434910268,0.09261055812125288,0.40245563041623944
15,0.05,237.0,Sobol2,0.11622400877382404,0.5247493569467485,0.09343506243716694,0.376195143817757
16,0.05,588.0,Grid1296,0.05903880661579197,0.3747093015682854,0.09635592695984586,0.4110265347539799
17,0.05,588.0,Grid2401,0.04274382379783425,0.6883827001951205,0.11986671696034439,0.05850989064184431
18,0.05,588.0,Sobol1,0.11690201691288998,0.46472509595097455,0.09257612742719937,0.4023860288908091
19,0.05,588.0,Sobol2,0.09989831787912623,0.6034280458437153,0.09327425188863334,0.3780729619888278
20,0.05,951.0,Grid1296,0.0672474632878456,0.5762039872415063,0.09626422784157912,0.4045199348084223
21,0.05,951.0,Grid2401,0.03823628576885505,0.7653893338962698,0.11941444435614786,0.06593791549785966
22,0.05,951.0,Sobol1,0.14143004091714895,0.5647850359759803,0.09199287646376285,0.4083372697829849
23,0.05,951.0,Sobol2,0.13782884997766623,0.37936179282790783,0.09312194495471979,0.38014282408820255
24,0.05,490.0,Grid1296,0.05521709162128954,0.4478883889584976,0.09620719832954358,0.40870804456664034
25,0.05,490.0,Grid2401,0.04856838472237961,0.5450795636394317,0.12036931471251736,0.05173756316850797
26,0.05,490.0,Sobol1,0.09954034413725633,0.5485197834840589,0.09247580026358035,0.40332017969977985
27,0.05,490.0,Sobol2,0.11908471628976729,0.49526774940909457,0.09375873080302406,0.37262793055811927
28,0.05,395.0,Grid1296,0.06462456040579383,0.49413609428847627,0.09620049106746836,0.4033237039108416
29,0.05,395.0,Grid2401,0.04384932300921992,0.6949456328881892,0.1196206037713834,0.06365644112530955
