,ratio,rndint,dataset,degree,mape_ist,r2_ist,mape_ost,r2_ost
0,0.05,678.0,Grid1296,1.0,0.0667447918832986,0.4591318358790548,0.0962211508899437,0.4097183645311063
1,0.05,678.0,Grid2401,1.0,0.04093138511493137,0.5709015021191721,0.11982435734117247,0.06151663541400654
2,0.05,678.0,Sobol1,1.0,0.10673422224884832,0.6016781737262176,0.09251235003365355,0.40336900733753767
3,0.05,678.0,Sobol2,1.0,0.11733746509673765,0.4946301303759232,0.0932887492843867,0.3778511195047026
4,0.05,678.0,Grid1296,2.0,0.028919617158379953,0.9034844388203707,0.05770091256176778,0.7851131903710411
5,0.05,678.0,Grid2401,2.0,0.0200456665801596,0.8553678426045142,0.09194157088042565,0.36552212807423223
6,0.05,678.0,Sobol1,2.0,0.04567386449369178,0.9269316818798627,0.04954612085616656,0.8147589040784651
7,0.05,678.0,Sobol2,2.0,0.043890264597001516,0.9267721426224943,0.04870095095108475,0.8177093704392953
8,0.05,678.0,Grid1296,3.0,0.008543753236713804,0.991557826509812,0.027241831809377632,0.9331078370904045
9,0.05,678.0,Grid2401,3.0,0.012025880403866547,0.9566059659845537,0.05546517979055564,0.7939372685434258
10,0.05,678.0,Sobol1,3.0,0.01668843563603098,0.9898814062286446,0.023849870380797642,0.9159100171495594
11,0.05,678.0,Sobol2,3.0,0.024547318827029926,0.967999580390436,0.02199451827275438,0.932202598166862
12,0.05,678.0,Grid1296,4.0,0.004882904400804143,0.9972589495824405,0.043753652561985226,0.7565955344425831
13,0.05,678.0,Grid2401,4.0,0.009148801531556321,0.9775299797216973,0.03611837082760474,0.8076359699017861
14,0.05,678.0,Sobol1,4.0,0.015785229066406756,0.9915146824599214,0.020855605229225378,0.9298170509956071
15,0.05,678.0,Sobol2,4.0,0.020915869900694346,0.9795300628037342,0.02058645594749792,0.9380570840452793
16,0.05,678.0,Grid1296,5.0,0.003655041863327544,0.9983240249181102,0.054837270956711155,0.529054159166754
17,0.05,678.0,Grid2401,5.0,0.007202510998297234,0.9839476888796574,0.08389982168927279,-0.07857623057133689
18,0.05,678.0,Sobol1,5.0,0.00817713142290356,0.9975095895992596,0.016029951068217443,0.9520161805236251
19,0.05,678.0,Sobol2,5.0,0.010664985685854118,0.9947197410147125,0.014708139822965724,0.9604578534004924
20,0.05,678.0,Grid1296,6.0,0.00428533271677141,0.9979807751815376,227970.466108959,-9342675125129.166
21,0.05,678.0,Grid2401,6.0,0.0075000828172321655,0.9801974128625079,0.10631940989453086,-1.0844438264648217
22,0.05,678.0,Sobol1,6.0,0.0046150996820228645,0.9990465270534542,0.015611221711150411,0.9488511685873029
23,0.05,678.0,Sobol2,6.0,0.010158366438591616,0.9930589153456872,0.013737173064923546,0.9606481970351923
24,0.05,678.0,Grid1296,7.0,0.0044127862504567536,0.9977847183994563,38729.37480322651,-312120298625.6361
25,0.05,678.0,Grid2401,7.0,0.007152677617967858,0.9844847939980956,9617.737026290984,-6781108747.375553
26,0.05,678.0,Sobol1,7.0,0.004572777890184418,0.9988214324487816,0.01586183301114223,0.9448476516263136
27,0.05,678.0,Sobol2,7.0,0.010613614070870813,0.9920700708700091,0.01410236491384294,0.9563071849767956
28,0.05,678.0,Grid1296,8.0,0.005640630043051974,0.9947065991042837,29104.71118743428,-186592123663.55582
29,0.05,678.0,Grid2401,8.0,0.008774436831653234,0.9799635421052462,10757.566040371561,-8956463091.719833
30,0.05,678.0,Sobol1,8.0,0.004009906509017859,0.999081905805493,0.016101062524832364,0.940364015679743
31,0.05,678.0,Sobol2,8.0,0.010283185244873724,0.9891598826664791,0.01449926051071572,0.9439197197588406
32,0.05,678.0,Grid1296,9.0,0.008522122223741135,0.9863767848905622,3402.615815081922,-2483945956.5152607
33,0.05,678.0,Grid2401,9.0,0.012953379361178885,0.9502013406038359,38372.57724180523,-133533660603.95737
34,0.05,678.0,Sobol1,9.0,0.004636579608190734,0.9989983743352849,0.018063046126959963,0.9235830932494745
35,0.05,678.0,Sobol2,9.0,0.011315184179043328,0.9814416252207344,0.017339242531733072,0.9185056879203294
36,0.05,678.0,Grid1296,10.0,0.011646305286134471,0.9662681507404601,164443.8673283252,-8292932521493.899
37,0.05,678.0,Grid2401,10.0,0.020064610237359636,0.8672287045633476,35904.654676189944,-185122770715.51874
38,0.05,678.0,Sobol1,10.0,0.00548928024513526,0.9982456038089159,0.022950804104076176,0.8590820042570773
39,0.05,678.0,Sobol2,10.0,0.021004428286997685,0.9435631587765626,0.023699638898245744,0.8159915228379888
40,0.05,147.0,Grid1296,1.0,0.05195002827818972,0.6393569219399681,0.09624872310966656,0.407829057987223
41,0.05,147.0,Grid2401,1.0,0.04531138124318842,0.7499079443834001,0.11945982985961835,0.06437301480706559
42,0.05,147.0,Sobol1,1.0,0.11692178031211584,0.4002396045170282,0.09269871075176435,0.40133255089331077
43,0.05,147.0,Sobol2,1.0,0.11548578041567738,0.4366813613255933,0.09352041770922603,0.37563876354725556
44,0.05,147.0,Grid1296,2.0,0.03157672512985122,0.8930250493191536,0.05729042385711388,0.7888351223488812
45,0.05,147.0,Grid2401,2.0,0.017655052055478543,0.9521165124682807,0.09116984576463841,0.3788628470305071
46,0.05,147.0,Sobol1,2.0,0.05268883745280306,0.8780079474861375,0.049728458280995806,0.8131796677948218
47,0.05,147.0,Sobol2,2.0,0.05013880823884981,0.8892132715722633,0.04869137291318767,0.8180869197597016
48,0.05,147.0,Grid1296,3.0,0.010077787243619105,0.988627452204545,0.02729152732034135,0.9332106728303095
49,0.05,147.0,Grid2401,3.0,0.011875899426492687,0.9744629384952528,0.05204091583168772,0.8194492039362372
50,0.05,147.0,Sobol1,3.0,0.01920637645714446,0.9782979199397952,0.023868158907028005,0.9159450425512043
51,0.05,147.0,Sobol2,3.0,0.022901182231006498,0.9742861714664953,0.02218421178751375,0.9310948212164191
52,0.05,147.0,Grid1296,4.0,0.00484933528423953,0.9972022316232979,0.04357166420612661,0.7607086476021896
53,0.05,147.0,Grid2401,4.0,0.007552102504296892,0.9890064677103267,0.036358193024305624,0.8008914003739831
54,0.05,147.0,Sobol1,4.0,0.016653514921004548,0.9823253722954729,0.02096119657095646,0.9299181230178687
55,0.05,147.0,Sobol2,4.0,0.018872597248148427,0.9834877570979201,0.020910315026479977,0.9369567684351581
56,0.05,147.0,Grid1296,5.0,0.0066459848039404175,0.9933486783298976,0.05686914063775426,0.5085764873547624
57,0.05,147.0,Grid2401,5.0,0.007154452065774194,0.9900635161366615,0.08485591107586053,-0.1215250656458593
58,0.05,147.0,Sobol1,5.0,0.01184148380929918,0.987376447254543,0.015794640611348637,0.9527148845856853
59,0.05,147.0,Sobol2,5.0,0.00924005978172162,0.9952102267110773,0.014772485147843,0.9599001278999268
60,0.05,147.0,Grid1296,6.0,0.005188474484118279,0.9963811505888783,37400.65232852135,-251462385294.30734
61,0.05,147.0,Grid2401,6.0,0.0077067600467443775,0.9864006150818938,0.09736062798738505,-0.6646782825771198
62,0.05,147.0,Sobol1,6.0,0.008675702455510277,0.9915352522707819,0.015160855606934042,0.9507398510151284
63,0.05,147.0,Sobol2,6.0,0.009082090656788553,0.9947173168525717,0.013672860499019345,0.9607322875078267
64,0.05,147.0,Grid1296,7.0,0.003960119082112375,0.9976568398658867,108275.99363300327,-2443550251214.95
65,0.05,147.0,Grid2401,7.0,0.010379738392290219,0.9736272204120743,22816.89216633948,-38165385122.11747
66,0.05,147.0,Sobol1,7.0,0.007591057199244949,0.9938022287056034,0.015238842330930992,0.9495776146837452
67,0.05,147.0,Sobol2,7.0,0.009391911815395412,0.9936679528021928,0.013955263789929426,0.9570482751828068
68,0.05,147.0,Grid1296,8.0,0.009410123343112543,0.985444939675993,239342.33887273588,-12504245215668.393
69,0.05,147.0,Grid2401,8.0,0.013214617130572237,0.9512678210242335,9677.794761873683,-7274364138.176385
70,0.05,147.0,Sobol1,8.0,0.007757015612906529,0.9921035590059059,0.015648044937343522,0.9467794043730187
71,0.05,147.0,Sobol2,8.0,0.010330134255244582,0.9914628481217626,0.014042836147691211,0.9513485578230602
72,0.05,147.0,Grid1296,9.0,0.006600616649459584,0.993962179359592,51596.278627167565,-674013590747.2908
73,0.05,147.0,Grid2401,9.0,0.01668889576733294,0.9055410838798164,35020.873975854374,-110526216058.53603
74,0.05,147.0,Sobol1,9.0,0.010235556180853277,0.9861452846348852,0.018441250391428292,0.9209613348067157
75,0.05,147.0,Sobol2,9.0,0.014292529174234197,0.9832322210048882,0.016602061563120725,0.9311228376993329
76,0.05,147.0,Grid1296,10.0,0.007500295798574932,0.9895458297980257,490462.73938395485,-75556577026983.22
77,0.05,147.0,Grid2401,10.0,0.022884551550021767,0.8341661228274244,19068.213320164934,-45960104446.02207
78,0.05,147.0,Sobol1,10.0,0.01595562106482801,0.9659983699717077,0.02568924120489131,0.7731395456406379
79,0.05,147.0,Sobol2,10.0,0.021957253529102303,0.9530255948055306,0.025606263904824574,0.6481105429683092
80,0.05,561.0,Grid1296,1.0,0.04428602432784972,0.7124552676042732,0.09629282168103093,0.4091997790017655
81,0.05,561.0,Grid2401,1.0,0.04659442784696451,0.4836998128104708,0.11990728744282327,0.060327882900958474
82,0.05,561.0,Sobol1,1.0,0.1065241214401535,0.5819202287084795,0.0927705684192464,0.4009742459398463
83,0.05,561.0,Sobol2,1.0,0.1158244191315019,0.476207091108812,0.09392778275318699,0.3709736105117035
84,0.05,561.0,Grid1296,2.0,0.02540511548440474,0.9230319387623717,0.057357231286589955,0.7883559815408784
85,0.05,561.0,Grid2401,2.0,0.025791034616723444,0.6148778345686203,0.09057611650636549,0.38690256771757603
86,0.05,561.0,Sobol1,2.0,0.04790927259089744,0.9138143315018687,0.049702512050197066,0.8133699882358707
87,0.05,561.0,Sobol2,2.0,0.05164576802921939,0.8899117900488516,0.048710396303089584,0.8171462939649257
88,0.05,561.0,Grid1296,3.0,0.00958446412110772,0.9873738638515079,0.027193878534008828,0.9335310128991015
89,0.05,561.0,Grid2401,3.0,0.020213978882709302,0.6041455053119851,0.05045046388152176,0.8310634936891304
90,0.05,561.0,Sobol1,3.0,0.016563630034316462,0.9879272009851305,0.02386981202413457,0.9157906968208279
91,0.05,561.0,Sobol2,3.0,0.02259725587467716,0.9761476203261877,0.022106613932532215,0.9317585098004257
92,0.05,561.0,Grid1296,4.0,0.004439891664796385,0.9969613698920866,0.043438568209960046,0.7607441196489071
93,0.05,561.0,Grid2401,4.0,0.0156288566768513,0.6409164403494618,0.03466608100857294,0.8162503758421601
94,0.05,561.0,Sobol1,4.0,0.014714266945191278,0.9904992800901102,0.02092578529208081,0.9295045481083135
95,0.05,561.0,Sobol2,4.0,0.02000180574483704,0.9827828083715225,0.020899294211662072,0.9371660374961284
96,0.05,561.0,Grid1296,5.0,0.0031062625664977825,0.998583648799896,0.05444059464136349,0.5367644029943972
97,0.05,561.0,Grid2401,5.0,0.018536297164958093,0.6456709001405003,0.06342991947696087,0.36504412731800273
98,0.05,561.0,Sobol1,5.0,0.008202576422408034,0.9970647675429788,0.016027928711338863,0.9519974694663029
