,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse_test,mape_test,r2_test,rmse_interpolation,mape_interpolation,r2_interpolation
0,0.45,678.0,Grid1296,RBF,1.0,-,-,-,22.91386501346349,0.020102439390402828,0.9077055137350668,228.78093586680228,0.27158049324345723,-4.213844031086331
1,0.45,678.0,Grid1296,Matern,1.0,1.5,-,-,9.914011564536517,0.009598454189246559,0.9827226194751346,58.89782624043909,0.05464063677332195,0.6544452208172562
2,0.45,678.0,Grid1296,RQ,1.0,-,1.0,-,19.634751968714674,0.015968268304468052,0.9322311844550941,51.824464606421,0.05944653084317443,0.7324604333909825
3,0.45,678.0,Grid1296,ESS,1.0,-,-,1.0,680.4662546654313,1.0,-80.39397185291926,677.2886796422731,0.9948604774386514,-44.69471831728442
4,0.45,678.0,Grid2401,RBF,1.0,-,-,-,88.96826787540394,0.07004111447800165,-0.691295223701518,390.35812723448026,0.5061514127339548,-13.641909646333493
5,0.45,678.0,Grid2401,Matern,1.0,1.5,-,-,30.977839183246044,0.018580702381288734,0.7949539566438633,32.71292764239119,0.03662250969978042,0.8971723058668393
6,0.45,678.0,Grid2401,RQ,1.0,-,1.0,-,24.74250940253007,0.016899222366419244,0.8691912969769546,84.74178613258958,0.08638245272137475,0.30997234298011345
7,0.45,678.0,Grid2401,ESS,1.0,-,-,1.0,705.0771704659459,1.0,-105.22395263125789,672.2281494694548,0.9923115680664856,-42.42148379659381
8,0.45,678.0,Sobol1,RBF,1.0,-,-,-,15.411607158831359,0.016015293099994478,0.9803181873060735,26.149163377949183,0.0218395374207861,0.9252794943824364
9,0.45,678.0,Sobol1,Matern,1.0,1.5,-,-,13.045760780620618,0.012771337550589925,0.9858971120615374,20.722408648140977,0.01717705518866183,0.9530749577246974
10,0.45,678.0,Sobol1,RQ,1.0,-,1.0,-,20.099403690379855,0.01996024825121772,0.9665238442580975,22.500341294500707,0.020219541476648405,0.9446774211536744
11,0.45,678.0,Sobol1,ESS,1.0,-,-,1.0,664.2233543771476,0.9970783538884352,-35.559270121769444,679.1758444912208,0.9965437848812645,-49.40674661722552
12,0.45,678.0,Sobol2,RBF,1.0,-,-,-,29.49349879202481,0.029183517767377612,0.9362092761627825,34.27177968991195,0.02801737120738226,0.8704376221404986
13,0.45,678.0,Sobol2,Matern,1.0,1.5,-,-,20.09160859362238,0.019368940828234864,0.9703970932623349,22.764692464102676,0.019109735721484708,0.942835136530195
14,0.45,678.0,Sobol2,RQ,1.0,-,1.0,-,28.031158865476037,0.028928275257023732,0.9423781703271346,24.881720280784222,0.02259992249106188,0.9317085392762458
15,0.45,678.0,Sobol2,ESS,1.0,-,-,1.0,662.7160527275884,0.9863553152628503,-31.207715388363788,677.4751997688923,0.9889622587331727,-49.62818969318231
16,0.45,147.0,Grid1296,RBF,1.0,-,-,-,22.49485617736755,0.02184193332260618,0.9108559815457022,239.11254744887376,0.28612748901260887,-4.696892344410111
17,0.45,147.0,Grid1296,Matern,1.0,1.5,-,-,10.82747392453372,0.010244632563667012,0.9793471467665565,58.25093493316047,0.05458081504893144,0.661904741410942
18,0.45,147.0,Grid1296,RQ,1.0,-,1.0,-,22.565443614043136,0.01838972650718937,0.910295647186629,51.90770428288245,0.05948327362082916,0.7315292825024844
19,0.45,147.0,Grid1296,ESS,1.0,-,-,1.0,22.4948494068926,0.02184192721642583,0.9108560352066145,239.1123707706507,0.286127243374804,-4.696883925642839
20,0.45,147.0,Grid2401,RBF,1.0,-,-,-,87.98092753387947,0.05687604516790603,-0.6428530272144333,327.96030186284037,0.4217954477467155,-9.344501954596717
21,0.45,147.0,Grid2401,Matern,1.0,1.5,-,-,38.36962622411232,0.02155704080024833,0.6875383102100008,35.71322074341409,0.03810323449720586,0.8773337560440887
22,0.45,147.0,Grid2401,RQ,1.0,-,1.0,-,21.75508629252161,0.016928255468736424,0.8995515451631566,84.56304860947706,0.08668862775169,0.3122536503023239
23,0.45,147.0,Grid2401,ESS,1.0,-,-,1.0,87.98091519256077,0.056876032957655746,-0.6428525663197389,327.96019227856914,0.421795309021943,-9.344495041598334
24,0.45,147.0,Sobol1,RBF,1.0,-,-,-,18.2725858829481,0.016377809335649356,0.9714138297304634,27.943931345130203,0.02242853246055325,0.9138450109463836
25,0.45,147.0,Sobol1,Matern,1.0,1.5,-,-,14.009490921753294,0.012406906687700572,0.9831964647683836,21.439207441192785,0.017389042954807334,0.9492865830556612
26,0.45,147.0,Sobol1,RQ,1.0,-,1.0,-,20.02836171623128,0.0187777600404148,0.9656563218827378,23.300544939003935,0.0205418982242508,0.9400985166995383
27,0.45,147.0,Sobol1,ESS,1.0,-,-,1.0,18.27257393958369,0.016377800235093883,0.9714138670995517,27.943915413092764,0.022428520448248154,0.913845109187687
28,0.45,147.0,Sobol2,RBF,1.0,-,-,-,25.493448172922683,0.02623958524674101,0.9509550557059641,29.714226481404076,0.024500435119121082,0.9024261919860564
29,0.45,147.0,Sobol2,Matern,1.0,1.5,-,-,19.766026657017154,0.01961044979739393,0.9705167172624214,20.70019192249785,0.017779452942365877,0.9526463848555712
30,0.45,147.0,Sobol2,RQ,1.0,-,1.0,-,28.087209302784416,0.029702108919185878,0.9404674802179931,23.225031614954542,0.021545743487250715,0.9403902879697843
31,0.45,147.0,Sobol2,ESS,1.0,-,-,1.0,25.493438763596473,0.02623957453795392,0.9509550919097598,29.714214602606834,0.02450042553647881,0.9024262699998153
