,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse_test,mape_test,r2_test,rmse_interpolation,mape_interpolation,r2_interpolation
0,0.05,678.0,Grid1296,RBF,1.0,-,-,-,20.837523833160382,0.0234443699527201,0.9250179935451014,423.1731223853364,0.5510578239032852,-16.235365088191028
1,0.05,678.0,Grid1296,Matern,1.0,1.5,-,-,6.221444578859495,0.0073108781827133,0.9933158326921196,67.67318283417356,0.0613163865987388,0.559224404124708
2,0.05,678.0,Grid1296,RQ,1.0,-,1.0,-,17.482793759751548,0.0140063847521473,0.9472179192065684,49.76688466995159,0.0584695392515314,0.761622507938769
3,0.05,678.0,Grid1296,ESS,1.0,-,-,1.0,675.829367580956,1.0,-77.87492475451407,675.9673226110568,0.9921384137546356,-42.97802676999426
4,0.05,678.0,Grid2401,RBF,1.0,-,-,-,102.3755530583231,0.0785225245004119,-2.488741794113908,513.917186431577,0.708913552439682,-23.02508807514831
5,0.05,678.0,Grid2401,Matern,1.0,1.5,-,-,12.501402209465088,0.0121082793157703,0.9479771953492864,41.56453594907569,0.0508223453770023,0.8428463119108077
6,0.05,678.0,Grid2401,RQ,1.0,-,1.0,-,14.80136295171676,0.0117721323506709,0.927074448404622,88.38225189808301,0.0938506703094396,0.2894267882167147
7,0.05,678.0,Grid2401,ESS,1.0,-,-,1.0,102.37533169863386,0.0785223008113745,-2.4887267071924417,513.9168243641352,0.7089129997098322,-23.025054222615868
8,0.05,678.0,Sobol1,RBF,1.0,-,-,-,9.400139672696046,0.0100687315464404,0.9939944948366752,23.8849772696798,0.0196383881778134,0.9340001622741524
9,0.05,678.0,Sobol1,Matern,1.0,1.5,-,-,7.226681617150816,0.0075123832938906,0.9964505687008128,20.151550643145967,0.0157862886273009,0.9530203103217432
10,0.05,678.0,Sobol1,RQ,1.0,-,1.0,-,11.051300617716882,0.0104119389318024,0.9916994338124104,20.81128283000796,0.0171869860467365,0.9498938647972006
11,0.05,678.0,Sobol1,ESS,1.0,-,-,1.0,665.1109681097108,0.9897180443818672,-29.0655498494892,679.1712216265765,0.9906095434713492,-52.3644151139583
12,0.05,678.0,Sobol2,RBF,1.0,-,-,-,20.949115692590933,0.0219974235098367,0.9686654585808632,27.293672838978072,0.0218338953565908,0.9112801247555024
13,0.05,678.0,Sobol2,Matern,1.0,1.5,-,-,14.17458003100834,0.0131440054075665,0.9856546102034506,20.30534445381025,0.0160856052895461,0.9508959083432824
14,0.05,678.0,Sobol2,RQ,1.0,-,1.0,-,17.033745243699837,0.0179389178205347,0.9792836973010844,20.006487563976,0.0166175804115008,0.95233071296714
15,0.05,678.0,Sobol2,ESS,1.0,-,-,1.0,669.4524033586882,0.9936952476039989,-30.99862839356351,681.0419126944041,0.9932075875986074,-54.23885141174016
16,0.05,147.0,Grid1296,RBF,1.0,-,-,-,18.08790328145477,0.0182059722841614,0.9413809163040906,435.0656002854737,0.5677217024970127,-17.218817176824416
17,0.05,147.0,Grid1296,Matern,1.0,1.5,-,-,5.953969151795178,0.0064810695382582,0.9936485083477268,67.45281258411471,0.0612514555333551,0.5620638335806967
18,0.05,147.0,Grid1296,RQ,1.0,-,1.0,-,14.623771793293084,0.0112620947215271,0.9616838933289912,49.418548824051385,0.0580959247204583,0.7649335425582323
19,0.05,147.0,Grid1296,ESS,1.0,-,-,1.0,18.0878968248976,0.0182059669054232,0.9413809581527662,435.0654963575586,0.567721558135748,-17.218808472649883
20,0.05,147.0,Grid2401,RBF,1.0,-,-,-,721.0365277061095,1.0,-85.94374687191757,671.4658651250305,1.0,-39.660139365744655
21,0.05,147.0,Grid2401,Matern,1.0,1.5,-,-,39.97467597408397,0.0188655829059949,0.7327647625499678,35.25969787446974,0.0419933310287647,0.887881273281905
22,0.05,147.0,Grid2401,RQ,1.0,-,1.0,-,16.015742324698962,0.013092405151051,0.9571038846154698,87.91874078306614,0.0934243817201427,0.3029179460203242
23,0.05,147.0,Grid2401,ESS,1.0,-,-,1.0,103.69446965423089,0.0688426412392703,-0.798187641560083,505.4332788952099,0.6951070083293348,-22.0382056458729
