,ratio,rndint,dataset,kernel,mape_ist,r2_ist,mape_ost,r2_ost
0,0.05,678.0,Grid1296,RBF,0.023444369952720145,0.9250179935451014,0.5564613267235543,-16.332873452069823
1,0.05,678.0,Grid2401,RBF,0.07852252450041193,-2.4887417941139076,0.7205511383112014,-23.153111868255746
2,0.05,678.0,Sobol1,RBF,0.010068731546440413,0.9939944948366753,0.019849468177762904,0.9316426260854722
3,0.05,678.0,Sobol2,RBF,0.021997423509836713,0.9686654585808631,0.021831049350647842,0.9095511859473855
4,0.05,678.0,Grid1296,Matern,0.007310878182713343,0.9933158326921196,0.0618694788575716,0.5567578190214495
5,0.05,678.0,Grid2401,Matern,0.012108279315770326,0.9479771953492864,0.051537041887985476,0.8421544063541516
6,0.05,678.0,Sobol1,Matern,0.007512383293890679,0.9964505687008129,0.015968787958743316,0.9513144884801837
7,0.05,678.0,Sobol2,Matern,0.013144005407566512,0.9856546102034506,0.016136800209687056,0.9498509047131962
8,0.05,678.0,Grid1296,RQ,0.0140063847521473,0.9472179192065685,0.05892490440368317,0.7605679214478632
9,0.05,678.0,Grid2401,RQ,0.01177213235067097,0.927074448404622,0.0953659140095704,0.2854895257836254
10,0.05,678.0,Sobol1,RQ,0.010411938931802473,0.9916994338124104,0.017336424736102838,0.9482468818004104
11,0.05,678.0,Sobol2,RQ,0.01793891782053476,0.9792836973010844,0.016594584162572087,0.9515157751061075
12,0.05,147.0,Grid1296,RBF,0.018205972284161428,0.9413809163040906,0.5733495153887317,-17.320907052589646
13,0.05,147.0,Grid2401,RBF,1.0,-85.94374687191757,1.0,-39.39928014384073
14,0.05,147.0,Sobol1,RBF,0.01606502539120453,0.9811571327454003,0.020472542535219428,0.9276826646332548
15,0.05,147.0,Sobol2,RBF,0.020050740344262057,0.9702770380260526,0.02239640055012379,0.9045497130187289
16,0.05,147.0,Grid1296,Matern,0.006481069538258257,0.9936485083477268,0.06181238121289525,0.5596369087183648
17,0.05,147.0,Grid2401,Matern,0.018865582905994906,0.7327647625499678,0.04242029007936141,0.8888732785282831
18,0.05,147.0,Sobol1,Matern,0.012224462913330287,0.984945703708517,0.01596333416691125,0.9509066541503198
19,0.05,147.0,Sobol2,Matern,0.012747945818201498,0.9849732131011129,0.016195251254942058,0.9499532750419412
20,0.05,147.0,Grid1296,RQ,0.011262094721527116,0.9616838933289911,0.05857556891942322,0.7638220408599748
