,SigC,SigH,EpsC,EpsH,density
0,0.05,0.0455,0.1643,0.02,634.421
1,0.05,0.0455,0.1643,0.04,641.987
2,0.05,0.0455,0.1643,0.06,638.865
3,0.05,0.0455,0.1643,0.08,640.72
4,0.05,0.0455,0.1643,0.1,638.745
5,0.05,0.0455,0.1643,0.12,630.802
6,0.05,0.0455,0.1643,0.14,639.814
7,0.05,0.0455,0.3286,0.02,638.968
8,0.05,0.0455,0.3286,0.04,633.104
9,0.05,0.0455,0.3286,0.06,640.002
10,0.05,0.0455,0.3286,0.08,631.58
11,0.05,0.0455,0.3286,0.1,640.634
12,0.05,0.0455,0.3286,0.12,636.454
13,0.05,0.0455,0.3286,0.14,636.951
14,0.05,0.0455,0.4929,0.02,636.031
15,0.05,0.0455,0.4929,0.04,639.548
16,0.05,0.0455,0.4929,0.06,479.741
17,0.05,0.0455,0.4929,0.08,638.596
18,0.05,0.0455,0.4929,0.1,639.01
19,0.05,0.0455,0.4929,0.12,640.459
20,0.05,0.0455,0.4929,0.14,644.386
21,0.05,0.0455,0.6572,0.02,630.721
22,0.05,0.0455,0.6572,0.04,644.16
23,0.05,0.0455,0.6572,0.06,635.734
24,0.05,0.0455,0.6572,0.08,638.007
25,0.05,0.0455,0.6572,0.1,638.319
26,0.05,0.0455,0.6572,0.12,632.855
27,0.05,0.0455,0.6572,0.14,628.472
28,0.05,0.0455,0.8215,0.02,636.348
29,0.05,0.0455,0.8215,0.04,634.283
30,0.05,0.0455,0.8215,0.06,641.911
31,0.05,0.0455,0.8215,0.08,640.573
32,0.05,0.0455,0.8215,0.1,634.216
33,0.05,0.0455,0.8215,0.12,639.856
34,0.05,0.0455,0.8215,0.14,636.645
35,0.05,0.0455,0.9858,0.02,637.272
36,0.05,0.0455,0.9858,0.04,642.89
37,0.05,0.0455,0.9858,0.06,640.876
38,0.05,0.0455,0.9858,0.08,633.697
39,0.05,0.0455,0.9858,0.1,640.99
40,0.05,0.0455,0.9858,0.12,641.396
41,0.05,0.0455,0.9858,0.14,641.372
42,0.05,0.0455,1.1501,0.02,640.986
43,0.05,0.0455,1.1501,0.04,640.664
44,0.05,0.0455,1.1501,0.06,642.195
45,0.05,0.0455,1.1501,0.08,644.147
46,0.05,0.0455,1.1501,0.1,638.78
47,0.05,0.0455,1.1501,0.12,634.956
48,0.05,0.0455,1.1501,0.14,642.42
49,0.05,0.091,0.1643,0.02,638.031
50,0.05,0.091,0.1643,0.04,643.046
51,0.05,0.091,0.1643,0.06,640.678
52,0.05,0.091,0.1643,0.08,640.968
53,0.05,0.091,0.1643,0.1,638.434
54,0.05,0.091,0.1643,0.12,634.417
55,0.05,0.091,0.1643,0.14,639.479
56,0.05,0.091,0.3286,0.02,641.117
57,0.05,0.091,0.3286,0.04,635.257
58,0.05,0.091,0.3286,0.06,635.453
59,0.05,0.091,0.3286,0.08,640.61
60,0.05,0.091,0.3286,0.1,642.708
61,0.05,0.091,0.3286,0.12,643.684
62,0.05,0.091,0.3286,0.14,636.189
63,0.05,0.091,0.4929,0.02,641.758
64,0.05,0.091,0.4929,0.04,643.721
65,0.05,0.091,0.4929,0.06,635.928
66,0.05,0.091,0.4929,0.08,638.778
67,0.05,0.091,0.4929,0.1,637.518
68,0.05,0.091,0.4929,0.12,638.713
69,0.05,0.091,0.4929,0.14,641.486
70,0.05,0.091,0.6572,0.02,638.495
71,0.05,0.091,0.6572,0.04,640.786
72,0.05,0.091,0.6572,0.06,637.61
73,0.05,0.091,0.6572,0.08,636.84
74,0.05,0.091,0.6572,0.1,641.549
75,0.05,0.091,0.6572,0.12,643.874
76,0.05,0.091,0.6572,0.14,640.055
77,0.05,0.091,0.8215,0.02,639.771
78,0.05,0.091,0.8215,0.04,637.794
79,0.05,0.091,0.8215,0.06,634.56
80,0.05,0.091,0.8215,0.08,640.757
81,0.05,0.091,0.8215,0.1,635.925
82,0.05,0.091,0.8215,0.12,639.621
83,0.05,0.091,0.8215,0.14,635.945
84,0.05,0.091,0.9858,0.02,637.454
85,0.05,0.091,0.9858,0.04,637.156
86,0.05,0.091,0.9858,0.06,640.008
87,0.05,0.091,0.9858,0.08,642.409
88,0.05,0.091,0.9858,0.1,643.604
89,0.05,0.091,0.9858,0.12,638.846
90,0.05,0.091,0.9858,0.14,639.896
91,0.05,0.091,1.1501,0.02,641.847
92,0.05,0.091,1.1501,0.04,640.851
93,0.05,0.091,1.1501,0.06,639.595
94,0.05,0.091,1.1501,0.08,643.393
95,0.05,0.091,1.1501,0.1,642.112
96,0.05,0.091,1.1501,0.12,639.61
97,0.05,0.091,1.1501,0.14,643.458
98,0.05,0.1365,0.1643,0.02,638.986
99,0.05,0.1365,0.1643,0.04,640.281
100,0.05,0.1365,0.1643,0.06,640.63
101,0.05,0.1365,0.1643,0.08,646.154
102,0.05,0.1365,0.1643,0.1,647.507
103,0.05,0.1365,0.1643,0.12,654.594
104,0.05,0.1365,0.1643,0.14,650.583
105,0.05,0.1365,0.3286,0.02,640.782
106,0.05,0.1365,0.3286,0.04,640.227
107,0.05,0.1365,0.3286,0.06,639.774
108,0.05,0.1365,0.3286,0.08,644.462
109,0.05,0.1365,0.3286,0.1,650.348
110,0.05,0.1365,0.3286,0.12,650.676
111,0.05,0.1365,0.3286,0.14,651.395
112,0.05,0.1365,0.4929,0.02,640.465
113,0.05,0.1365,0.4929,0.04,641.474
114,0.05,0.1365,0.4929,0.06,649.165
115,0.05,0.1365,0.4929,0.08,649.323
116,0.05,0.1365,0.4929,0.1,646.168
117,0.05,0.1365,0.4929,0.12,650.008
118,0.05,0.1365,0.4929,0.14,652.374
119,0.05,0.1365,0.6572,0.02,641.696
120,0.05,0.1365,0.6572,0.04,643.927
121,0.05,0.1365,0.6572,0.06,642.929
122,0.05,0.1365,0.6572,0.08,646.075
123,0.05,0.1365,0.6572,0.1,647.901
124,0.05,0.1365,0.6572,0.12,650.59
125,0.05,0.1365,0.6572,0.14,651.803
126,0.05,0.1365,0.8215,0.02,639.85
127,0.05,0.1365,0.8215,0.04,640.505
128,0.05,0.1365,0.8215,0.06,642.89
129,0.05,0.1365,0.8215,0.08,648.555
130,0.05,0.1365,0.8215,0.1,653.975
131,0.05,0.1365,0.8215,0.12,647.239
132,0.05,0.1365,0.8215,0.14,651.749
133,0.05,0.1365,0.9858,0.02,645.315
134,0.05,0.1365,0.9858,0.04,641.12
135,0.05,0.1365,0.9858,0.06,646.639
136,0.05,0.1365,0.9858,0.08,646.402
137,0.05,0.1365,0.9858,0.1,644.203
138,0.05,0.1365,0.9858,0.12,651.056
139,0.05,0.1365,0.9858,0.14,653.483
140,0.05,0.1365,1.1501,0.02,636.16
141,0.05,0.1365,1.1501,0.04,641.781
142,0.05,0.1365,1.1501,0.06,642.187
143,0.05,0.1365,1.1501,0.08,649.118
144,0.05,0.1365,1.1501,0.1,649.727
145,0.05,0.1365,1.1501,0.12,655.13
146,0.05,0.1365,1.1501,0.14,652.651
147,0.05,0.182,0.1643,0.02,646.846
148,0.05,0.182,0.1643,0.04,648.755
149,0.05,0.182,0.1643,0.06,659.493
150,0.05,0.182,0.1643,0.08,670.844
151,0.05,0.182,0.1643,0.1,675.375
152,0.05,0.182,0.1643,0.12,683.329
153,0.05,0.182,0.1643,0.14,689.868
154,0.05,0.182,0.3286,0.02,646.513
155,0.05,0.182,0.3286,0.04,657.206
156,0.05,0.182,0.3286,0.06,659.805
157,0.05,0.182,0.3286,0.08,663.768
158,0.05,0.182,0.3286,0.1,673.474
159,0.05,0.182,0.3286,0.12,680.443
160,0.05,0.182,0.3286,0.14,687.173
161,0.05,0.182,0.4929,0.02,650.294
162,0.05,0.182,0.4929,0.04,653.313
163,0.05,0.182,0.4929,0.06,659.095
164,0.05,0.182,0.4929,0.08,668.616
165,0.05,0.182,0.4929,0.1,675.607
166,0.05,0.182,0.4929,0.12,680.54
167,0.05,0.182,0.4929,0.14,687.268
168,0.05,0.182,0.6572,0.02,650.669
169,0.05,0.182,0.6572,0.04,651.057
170,0.05,0.182,0.6572,0.06,663.9
171,0.05,0.182,0.6572,0.08,669.204
172,0.05,0.182,0.6572,0.1,675.872
173,0.05,0.182,0.6572,0.12,684.604
