,ratio,rndint,dataset,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.05,794.0,Sobol1,0.0030614767585191,0.9993533720383664,0.0157827777197977,0.9421768259047504
1,0.05,985.0,Sobol1,0.0035806199345993,0.9983545447768236,0.0159008594887277,0.9414961038316556
2,0.05,794.0,Sobol1,0.0035917085425853,0.9986962242437328,0.0180154764164398,0.9222475632487588
3,0.05,530.0,Sobol1,0.0038775455999092,0.9985768389264784,0.0158062403055317,0.9426283884412018
4,0.05,294.0,Sobol1,0.0038921721053845,0.998277622152126,0.015943694315272,0.9412820366674208
5,0.05,985.0,Sobol1,0.0038950374929744,0.9985067086103512,0.0157705969294686,0.945361148944486
6,0.05,930.0,Sobol1,0.0038977545456886,0.9990724962631274,0.0157981548403782,0.9421888095958896
7,0.05,111.0,Sobol1,0.0039276674010228,0.9986393722975452,0.0158023084029126,0.9418887311809192
8,0.1,930.0,Sobol1,0.0039329176727308,0.998702775134832,0.0156198267911002,0.94346834953507
9,0.05,390.0,Sobol1,0.0039682556202894,0.9974339297062988,0.0158316428145736,0.941305391255894
10,0.05,111.0,Sobol1,0.0039921255556149,0.9990411473898136,0.015338629203124,0.9503306643227653
11,0.05,678.0,Sobol1,0.0040099065090178,0.999081905805493,0.0158401209099614,0.9425795071465132
12,0.05,968.0,Sobol1,0.0040557808945771,0.997350888822192,0.0157961893247555,0.9444161631089324
13,0.1,180.0,Sobol1,0.0040896924805168,0.9979907314998608,0.015594721025117,0.9465679432926014
14,0.05,877.0,Sobol1,0.0041014733730855,0.9991104765785594,0.0157849834425206,0.9440204890175684
15,0.05,968.0,Sobol1,0.0041188795125068,0.9963159625739,0.0161270926807384,0.939226277542591
16,0.05,930.0,Sobol1,0.0041403700604895,0.9989827542832704,0.0157350349851409,0.9462681945039646
17,0.15,928.0,Sobol1,0.0041944072636302,0.998148069607486,0.0157980566194217,0.9424350842713618
18,0.05,633.0,Sobol1,0.0041998300823772,0.9983016937262964,0.0158668518124676,0.94239073655415
19,0.1,294.0,Sobol1,0.0042006174366923,0.9984808512760608,0.015895927161477,0.942142004801646
20,0.05,111.0,Sobol1,0.004225519109527,0.9986454931052484,0.0157521852845841,0.9459413740080536
21,0.05,854.0,Sobol1,0.0042260260596155,0.99810470419225,0.0159223218604901,0.94205525413812
22,0.05,816.0,Sobol1,0.0042484411105092,0.9986103576451688,0.0158148245213202,0.9419993383621724
23,0.05,968.0,Sobol1,0.0042606869087951,0.9981617299061571,0.0154328215626343,0.9497575280753212
24,0.05,816.0,Sobol1,0.0042663226376338,0.998648750060192,0.0156512244091822,0.9461383967774304
25,0.1,930.0,Sobol1,0.0042664696562081,0.9983925293620036,0.0175226103590779,0.92912649326825
26,0.1,930.0,Sobol1,0.0042787013474843,0.9984389519835,0.0155057483019814,0.9473552233109443
27,0.05,294.0,Sobol1,0.0042788520639252,0.9978970489082196,0.018087796315023,0.9226607730135143
28,0.15,294.0,Sobol1,0.0042868360939369,0.9982330575278344,0.0156908775515616,0.9443365535840306
29,0.05,561.0,Sobol1,0.0043000873578744,0.998884585040577,0.0158369421137759,0.9427758470373064
30,0.05,794.0,Sobol1,0.0043160482794398,0.998703518965272,0.0157992978550449,0.9456171285987598
31,0.05,930.0,Sobol1,0.0043162207732507,0.9986024384211024,0.0176069959901431,0.927275984771179
32,0.1,928.0,Sobol1,0.0043973351824867,0.9976840281982782,0.0158896317954888,0.9427895919239548
33,0.1,816.0,Sobol1,0.0044083203797659,0.998533040336903,0.015744607534409,0.9434884707148098
34,0.1,390.0,Sobol1,0.0044247463180862,0.9980519503009512,0.0157863747288884,0.941850347826372
35,0.05,111.0,Sobol1,0.0044339625686507,0.9983591481329384,0.0183135993333837,0.920119263797155
36,0.1,877.0,Sobol1,0.004442069672249,0.9986628869689438,0.0155516477871088,0.945614649706926
37,0.05,985.0,Sobol1,0.0044421630273127,0.9984011624810144,0.0154375763596351,0.9497508876862308
38,0.05,294.0,Sobol1,0.0044521795252395,0.997329012205384,0.0157480879712684,0.9456196586203904
39,0.1,180.0,Sobol1,0.0045061012184209,0.9980988102839732,0.0154669818287729,0.9482975004654202
40,0.05,390.0,Sobol1,0.0045204492025468,0.9986867878314034,0.0154443117103359,0.9501166067072088
41,0.05,877.0,Sobol1,0.0045338606549654,0.9987912882401604,0.0156988602058877,0.9469535847846924
42,0.2,633.0,Sobol1,0.0045501637857807,0.9982787391457458,0.0151652002797226,0.9512118906783588
43,0.2,633.0,Sobol1,0.0045518372723451,0.9974608679400672,0.0154682744293595,0.9470153928762504
44,0.15,633.0,Sobol1,0.0045530230901028,0.9978403154557064,0.0155496959155688,0.9459132193743084
45,0.05,678.0,Sobol1,0.0045727778901844,0.9988214324487816,0.0156182016933609,0.946884470561992
46,0.1,877.0,Sobol1,0.0045974097823802,0.9985396578951202,0.0155639947806648,0.9476432624573436
47,0.05,930.0,Sobol1,0.0046101270013581,0.9989745788291,0.0153790190925456,0.9504351977414932
48,0.05,678.0,Sobol1,0.0046150996820228,0.9990465270534542,0.0153739122400089,0.9507452607160048
49,0.05,530.0,Sobol1,0.0046192951139238,0.9979442317632026,0.0177559311866785,0.9264103307321668
50,0.05,390.0,Sobol1,0.0046229291550727,0.998270489741084,0.0175262171458614,0.9281050559964868
