,ratio,rndint,dataset,mape_ist,r2_ist,mape_ost,r2_ost
0,0.05,794.0,Sobol1,0.0083380667068237,0.9919745467324724,0.0173393774473057,0.9463917636344767
1,0.05,930.0,Sobol1,0.008344592766256,0.9951704455000326,0.0173443898287897,0.9464205243649711
2,0.05,794.0,Sobol1,0.0083620260647115,0.9916657920012958,0.0173881969023199,0.9457959833446518
3,0.05,930.0,Sobol1,0.0083623545165858,0.9950750946885591,0.0174385857024213,0.9459301424592358
4,0.05,930.0,Sobol1,0.0083820501151137,0.9951430052519166,0.0173714532799434,0.9463286445489528
5,0.05,930.0,Sobol1,0.0083855718117206,0.9950992922621492,0.0174001231888218,0.9462383412775296
6,0.05,930.0,Sobol1,0.0083958036179161,0.9951012327368608,0.0173004085109512,0.9462314077781154
7,0.05,561.0,Sobol1,0.0084017728260509,0.9938456287692462,0.0175537757247116,0.945714285459803
8,0.05,561.0,Sobol1,0.0084354327787218,0.9939360993655554,0.0175277864452138,0.9458358876767484
9,0.05,561.0,Sobol1,0.0084492899081954,0.9937638799849569,0.0175804939574398,0.9456488097621282
10,0.05,794.0,Sobol1,0.008466910149808,0.9916874606687012,0.0173838496322497,0.945829418325441
11,0.05,561.0,Sobol1,0.0084888351224855,0.9939310127774348,0.0175373775525326,0.9458080181521012
12,0.05,794.0,Sobol1,0.0084947994708063,0.9914111985415456,0.0173857550554666,0.9458354106875372
13,0.05,561.0,Sobol1,0.0085030045482631,0.994078213761164,0.0175559476014834,0.94565514631792
14,0.05,794.0,Sobol1,0.0088073035367093,0.9909465644074164,0.0174847029722492,0.9458973554472996
15,0.05,390.0,Sobol1,0.0088837491047821,0.9951869988273108,0.0174337004244472,0.9461297149488052
16,0.05,390.0,Sobol1,0.0089484898238963,0.9950844822170676,0.0174395485679364,0.9460693237249688
17,0.05,390.0,Sobol1,0.0089494090498635,0.9951172218342692,0.0174251972978075,0.9465016078271472
18,0.05,554.0,Sobol1,0.0089618344327267,0.9873860392541064,0.0175377982616452,0.9452184316607029
19,0.05,554.0,Sobol1,0.0089623472956286,0.98689447243698,0.0174934726584563,0.9456296824301668
20,0.05,390.0,Sobol1,0.0089822035122238,0.9950363933027944,0.0174499145015743,0.9460623551796608
21,0.05,554.0,Sobol1,0.0090099703037919,0.9871650489794898,0.0174981806824977,0.945506138075379
22,0.05,554.0,Sobol1,0.0090145499171444,0.9873407008275712,0.017511197132561,0.9456051594780104
23,0.05,791.0,Sobol1,0.0091105615539331,0.9936760575268604,0.0175576475485046,0.946557366130948
24,0.1,510.0,Sobol1,0.0091122420161516,0.9930349531724688,0.0176409427535407,0.9459322164221864
25,0.1,510.0,Sobol1,0.0091437100513129,0.9930459325232328,0.0176525120623866,0.9459122638736686
26,0.1,510.0,Sobol1,0.0091562811990388,0.9929899166857308,0.0177146004519977,0.9456170522502708
27,0.1,510.0,Sobol1,0.0091592618546995,0.993042190354336,0.0176324584770666,0.9459289954132604
28,0.05,390.0,Sobol1,0.0091707133956657,0.994793440917192,0.0175685223508937,0.94601944761388
29,0.05,554.0,Sobol1,0.009187730079565,0.987436112638838,0.0176788354890948,0.9449410544120586
30,0.05,791.0,Sobol1,0.0091914118761222,0.9936427716974248,0.0175058940430628,0.9465892215028276
31,0.05,791.0,Sobol1,0.0093003442889762,0.9934565223412716,0.0174957518949133,0.9466312816619394
32,0.05,791.0,Sobol1,0.0093004882085876,0.9934312773000312,0.0175132323705062,0.9465195479273428
33,0.1,554.0,Sobol1,0.0093320023281925,0.987461627386884,0.0176664985466676,0.9455762998973932
34,0.1,554.0,Sobol1,0.0093579005756905,0.9872893499889474,0.0176717101364465,0.9457401681843554
35,0.1,510.0,Sobol1,0.0093695496366278,0.992729785820148,0.0178036845078602,0.9447404266065452
36,0.1,554.0,Sobol1,0.0093759676685882,0.9874227085001736,0.017684994541113,0.9454051011291944
