,#,SigC,SigH,EpsC,EpsH,prediction
0,0,0.3150123215741045,0.2528707188341669,0.5981558260178037,0.1014973105844215,720.9191284179688
1,1,0.325896827868402,0.2681864807463032,0.5972985508008557,0.1027766782642834,672.4894409179688
2,2,0.3545657186347321,0.2701132667738241,0.5998303152564651,0.1002447577384952,703.0170288085938
3,3,0.3510635768614392,0.2743262600938136,0.5991180577879699,0.1003106080247855,702.9963989257812
4,4,0.3519514360495574,0.272267454178565,0.5993849769140543,0.1005549964649539,703.240234375
5,5,0.3323721080293676,0.2486319999177107,0.5978466105726014,0.1040742602215995,762.710205078125
6,6,0.3555514591690369,0.2719192945549466,0.5998417710530913,0.0997952278637818,708.9495239257812
7,7,0.3257955764170982,0.2667732615893508,0.5974380026066121,0.1023144250643514,687.7824096679688
8,8,0.3524635730676699,0.2725379394928625,0.5995688345341152,0.0996451513504085,705.3532104492188
9,9,0.3295260099048366,0.2623922989813494,0.596934226111785,0.1010090291123725,709.189697265625
10,10,0.3265568634578895,0.2549879959078684,0.5970403592905528,0.1039732834153637,723.4619140625
11,11,0.3257320402529864,0.2667521721847968,0.5975863056845079,0.1010336709793553,688.8756713867188
