,#,SigC,SigH,EpsC,EpsH,prediction,simulation,simErr,absPredSimDiff,relPredSimDiff,absTargSimDiff,relTargSimDiff
0,0,0.3150123215741045,0.2528707188341669,0.5981558260178037,0.1014973105844215,720.9191284179688,725.366,0.39,-4.4468715820312354,-0.006130521119036784,25.365999999999985,0.036237142857142836
1,1,0.325896827868402,0.2681864807463032,0.5972985508008557,0.1027766782642834,672.4894409179688,678.534,1.1,-6.044559082031242,-0.008908262639795857,-21.466000000000008,-0.030665714285714296
2,2,0.3545657186347321,0.2701132667738241,0.5998303152564651,0.1002447577384952,703.0170288085938,704.999,0.89,-1.9819711914062736,-0.0028113106421516535,4.999000000000024,0.007141428571428605
3,3,0.3510635768614392,0.2743262600938136,0.5991180577879699,0.1003106080247855,702.9963989257812,686.136,0.43,16.860398925781283,0.02457296939058916,-13.864000000000033,-0.019805714285714333
4,4,0.3519514360495574,0.272267454178565,0.5993849769140543,0.1005549964649539,703.240234375,694.721,0.88,8.519234374999996,0.012262813956969772,-5.278999999999996,-0.007541428571428566
5,5,0.3323721080293676,0.2486319999177107,0.5978466105726014,0.1040742602215995,762.710205078125,758.621,1.1,4.089205078125019,0.005390313579672879,58.62099999999998,0.08374428571428569
6,6,0.3555514591690369,0.2719192945549466,0.5998417710530913,0.0997952278637818,708.9495239257812,699.482,5.71149,9.467523925781279,0.013535050116773955,-0.5180000000000291,-0.0007400000000000416
7,7,0.3257955764170982,0.2667732615893508,0.5974380026066121,0.1023144250643514,687.7824096679688,684.534,1.3,3.248409667968758,0.004745432174251035,-15.466000000000008,-0.022094285714285726
8,8,0.3524635730676699,0.2725379394928625,0.5995688345341152,0.0996451513504085,705.3532104492188,693.643,1.4,11.710210449218721,0.01688218644060233,-6.356999999999971,-0.00908142857142853
9,9,0.3295260099048366,0.2623922989813494,0.596934226111785,0.1010090291123725,709.189697265625,707.433,0.95,1.7566972656250073,0.0024831994911532363,7.432999999999993,0.010618571428571418
10,10,0.3265568634578895,0.2549879959078684,0.5970403592905528,0.1039732834153637,723.4619140625,730.01,0.82,-6.548085937499991,-0.008969857861536132,30.00999999999999,0.04287142857142856
11,11,0.3257320402529864,0.2667521721847968,0.5975863056845079,0.1010336709793553,688.8756713867188,683.567,0.67,5.308671386718743,0.00776613175697297,-16.432999999999993,-0.023475714285714277
