,#,SigC,SigH,EpsC,EpsH,prediction
0,0,0.3257955764170982,0.2667732615893508,0.5974380026066121,0.1023144250643514,687.7824096679688
1,1,0.325896827868402,0.2681864807463032,0.5972985508008557,0.1027766782642834,672.4894409179688
2,2,0.3323721080293676,0.2486319999177107,0.5978466105726014,0.1040742602215995,762.710205078125
3,3,0.3150123215741045,0.2528707188341669,0.5981558260178037,0.1014973105844215,720.9191284179688
4,4,0.3545657186347321,0.2701132667738241,0.5998303152564651,0.1002447577384952,703.0170288085938
5,5,0.3262350846745386,0.2669341040524335,0.5964381917927134,0.1019640246386353,684.2595825195312
6,6,0.3510635768614392,0.2743262600938136,0.5991180577879699,0.1003106080247855,702.9963989257812
7,7,0.3295260099048366,0.2623922989813494,0.596934226111785,0.1010090291123725,709.189697265625
8,8,0.3512468099496759,0.2725628930552905,0.5992805450349459,0.1002677108346437,705.2081909179688
9,9,0.3548008163391843,0.270161034660398,0.600083456022436,0.1000480346874208,705.7323608398438
10,10,0.3279458434436736,0.2652653415498822,0.5977240265195733,0.1020152122077538,690.5758666992188
11,11,0.3510172930143023,0.2746247820494333,0.599097385569111,0.1003407880107033,704.2116088867188
