,#,SigC,SigH,EpsC,EpsH,prediction,simulation,simErr,absPredSimDiff,relPredSimDiff,absTargSimDiff,relTargSimDiff
0,0,0.3257955764170982,0.2667732615893508,0.5974380026066121,0.1023144250643514,687.7824096679688,683.823,0.91,3.959409667968771,0.005790108943350503,-16.17700000000002,-0.02311000000000003
1,1,0.325896827868402,0.2681864807463032,0.5972985508008557,0.1027766782642834,672.4894409179688,679.536,6.17367,-7.0465590820311945,-0.010369662655151744,-20.464000000000055,-0.029234285714285792
2,2,0.3323721080293676,0.2486319999177107,0.5978466105726014,0.1040742602215995,762.710205078125,760.565,0.68,2.1452050781249454,0.0028205414108260904,60.565000000000055,0.08652142857142865
3,3,0.3150123215741045,0.2528707188341669,0.5981558260178037,0.1014973105844215,720.9191284179688,725.363,1.1,-4.443871582031306,-0.006126410613763462,25.363000000000056,0.036232857142857226
4,4,0.3545657186347321,0.2701132667738241,0.5998303152564651,0.1002447577384952,703.0170288085938,707.262,0.63,-4.244971191406194,-0.006001978321196663,7.261999999999944,0.010374285714285635
5,5,0.3262350846745386,0.2669341040524335,0.5964381917927134,0.1019640246386353,684.2595825195312,684.882,1.2,-0.6224174804686982,-0.0009087952092020205,-15.118000000000052,-0.021597142857142933
6,6,0.3510635768614392,0.2743262600938136,0.5991180577879699,0.1003106080247855,702.9963989257812,685.046,1.1,17.9503989257812,0.026203202304343358,-14.95399999999995,-0.021362857142857072
7,7,0.3295260099048366,0.2623922989813494,0.596934226111785,0.1010090291123725,709.189697265625,707.268,1.1,1.921697265624971,0.0027170708495576935,7.268000000000029,0.010382857142857185
8,8,0.3512468099496759,0.2725628930552905,0.5992805450349459,0.1002677108346437,705.2081909179688,692.925,0.67,12.283190917968795,0.01772658068040379,-7.0750000000000455,-0.010107142857142922
9,9,0.3548008163391843,0.270161034660398,0.600083456022436,0.1000480346874208,705.7323608398438,705.531,0.9,0.20136083984380093,0.0002854032492460302,5.530999999999949,0.007901428571428499
10,10,0.3279458434436736,0.2652653415498822,0.5977240265195733,0.1020152122077538,690.5758666992188,693.194,1.1,-2.61813330078121,-0.003776912813413287,-6.80600000000004,-0.0097228571428572
11,11,0.3510172930143023,0.2746247820494333,0.599097385569111,0.1003407880107033,704.2116088867188,684.45,0.83,19.761608886718705,0.028872246163662362,-15.549999999999955,-0.02221428571428565
